Loading train.pt and valid.pt from data/processed_100k
Train samples: 99392, Valid samples: 486
Parameters: 44,797,712
Training transformer on cuda
/data/250010067/courses/NLP/NLP_midterm_project/train.py:100: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.use_amp):
Epoch 0 | Batch 0/6212 | Loss: 9.2459
Epoch 0 | Batch 100/6212 | Loss: 8.5189
Epoch 0 | Batch 200/6212 | Loss: 8.3667
Epoch 0 | Batch 300/6212 | Loss: 8.0172
Epoch 0 | Batch 400/6212 | Loss: 7.7115
Epoch 0 | Batch 500/6212 | Loss: 7.3167
Epoch 0 | Batch 600/6212 | Loss: 6.7640
Epoch 0 | Batch 700/6212 | Loss: 6.4843
Epoch 0 | Batch 800/6212 | Loss: 6.5085
Epoch 0 | Batch 900/6212 | Loss: 6.1478
Epoch 0 | Batch 1000/6212 | Loss: 6.0888
Epoch 0 | Batch 1100/6212 | Loss: 6.2080
Epoch 0 | Batch 1200/6212 | Loss: 5.7657
Epoch 0 | Batch 1300/6212 | Loss: 6.1146
Epoch 0 | Batch 1400/6212 | Loss: 5.9337
Epoch 0 | Batch 1500/6212 | Loss: 5.9087
Epoch 0 | Batch 1600/6212 | Loss: 5.9261
Epoch 0 | Batch 1700/6212 | Loss: 5.7691
Epoch 0 | Batch 1800/6212 | Loss: 5.8030
Epoch 0 | Batch 1900/6212 | Loss: 5.7045
Epoch 0 | Batch 2000/6212 | Loss: 5.8461
Epoch 0 | Batch 2100/6212 | Loss: 5.7233
Epoch 0 | Batch 2200/6212 | Loss: 5.6055
Epoch 0 | Batch 2300/6212 | Loss: 5.3576
Epoch 0 | Batch 2400/6212 | Loss: 5.4766
Epoch 0 | Batch 2500/6212 | Loss: 5.3747
Epoch 0 | Batch 2600/6212 | Loss: 5.4737
Epoch 0 | Batch 2700/6212 | Loss: 5.4021
Epoch 0 | Batch 2800/6212 | Loss: 5.2667
Epoch 0 | Batch 2900/6212 | Loss: 5.3111
Epoch 0 | Batch 3000/6212 | Loss: 5.2531
Epoch 0 | Batch 3100/6212 | Loss: 5.3245
Epoch 0 | Batch 3200/6212 | Loss: 5.1962
Epoch 0 | Batch 3300/6212 | Loss: 5.0597
Epoch 0 | Batch 3400/6212 | Loss: 5.3447
Epoch 0 | Batch 3500/6212 | Loss: 5.3044
Epoch 0 | Batch 3600/6212 | Loss: 5.1264
Epoch 0 | Batch 3700/6212 | Loss: 5.1750
Epoch 0 | Batch 3800/6212 | Loss: 5.2323
Epoch 0 | Batch 3900/6212 | Loss: 5.2596
Epoch 0 | Batch 4000/6212 | Loss: 4.9045
Epoch 0 | Batch 4100/6212 | Loss: 4.7330
Epoch 0 | Batch 4200/6212 | Loss: 5.0881
Epoch 0 | Batch 4300/6212 | Loss: 5.2061
Epoch 0 | Batch 4400/6212 | Loss: 4.9674
Epoch 0 | Batch 4500/6212 | Loss: 4.9203
Epoch 0 | Batch 4600/6212 | Loss: 4.5256
Epoch 0 | Batch 4700/6212 | Loss: 4.8885
Epoch 0 | Batch 4800/6212 | Loss: 4.8891
Epoch 0 | Batch 4900/6212 | Loss: 4.8450
Epoch 0 | Batch 5000/6212 | Loss: 4.7022
Epoch 0 | Batch 5100/6212 | Loss: 4.5557
Epoch 0 | Batch 5200/6212 | Loss: 4.6064
Epoch 0 | Batch 5300/6212 | Loss: 4.5254
Epoch 0 | Batch 5400/6212 | Loss: 4.7059
Epoch 0 | Batch 5500/6212 | Loss: 4.5528
Epoch 0 | Batch 5600/6212 | Loss: 4.3009
Epoch 0 | Batch 5700/6212 | Loss: 4.5718
Epoch 0 | Batch 5800/6212 | Loss: 4.6071
Epoch 0 | Batch 5900/6212 | Loss: 4.7636
Epoch 0 | Batch 6000/6212 | Loss: 4.5715
Epoch 0 | Batch 6100/6212 | Loss: 4.4256
Epoch 0 | Batch 6200/6212 | Loss: 4.5716
/data/250010067/courses/NLP/NLP_midterm_project/train.py:141: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.use_amp):
Epoch 0 | Time: 129.8s | Train Loss: 5.5309 | Val Loss: 4.8050
New best model! Val Loss: 4.8050
Epoch 1 | Batch 0/6212 | Loss: 4.2133
Epoch 1 | Batch 100/6212 | Loss: 4.6128
Epoch 1 | Batch 200/6212 | Loss: 4.2703
Epoch 1 | Batch 300/6212 | Loss: 4.2687
Epoch 1 | Batch 400/6212 | Loss: 4.2330
Epoch 1 | Batch 500/6212 | Loss: 4.3128
Epoch 1 | Batch 600/6212 | Loss: 4.4037
Epoch 1 | Batch 700/6212 | Loss: 4.1403
Epoch 1 | Batch 800/6212 | Loss: 4.2825
Epoch 1 | Batch 900/6212 | Loss: 4.1161
Epoch 1 | Batch 1000/6212 | Loss: 3.9950
Epoch 1 | Batch 1100/6212 | Loss: 4.3692
Epoch 1 | Batch 1200/6212 | Loss: 4.2326
Epoch 1 | Batch 1300/6212 | Loss: 4.4825
Epoch 1 | Batch 1400/6212 | Loss: 4.2233
Epoch 1 | Batch 1500/6212 | Loss: 4.1136
Epoch 1 | Batch 1600/6212 | Loss: 4.1274
Epoch 1 | Batch 1700/6212 | Loss: 3.8532
Epoch 1 | Batch 1800/6212 | Loss: 4.0296
Epoch 1 | Batch 1900/6212 | Loss: 4.2760
Epoch 1 | Batch 2000/6212 | Loss: 4.2391
Epoch 1 | Batch 2100/6212 | Loss: 4.0143
Epoch 1 | Batch 2200/6212 | Loss: 4.2216
Epoch 1 | Batch 2300/6212 | Loss: 4.2172
Epoch 1 | Batch 2400/6212 | Loss: 4.3075
Epoch 1 | Batch 2500/6212 | Loss: 3.8467
Epoch 1 | Batch 2600/6212 | Loss: 4.2352
Epoch 1 | Batch 2700/6212 | Loss: 4.1296
Epoch 1 | Batch 2800/6212 | Loss: 4.3660
Epoch 1 | Batch 2900/6212 | Loss: 4.0607
Epoch 1 | Batch 3000/6212 | Loss: 3.9415
Epoch 1 | Batch 3100/6212 | Loss: 4.0000
Epoch 1 | Batch 3200/6212 | Loss: 3.7089
Epoch 1 | Batch 3300/6212 | Loss: 3.7678
Epoch 1 | Batch 3400/6212 | Loss: 3.7214
Epoch 1 | Batch 3500/6212 | Loss: 4.0708
Epoch 1 | Batch 3600/6212 | Loss: 3.6704
Epoch 1 | Batch 3700/6212 | Loss: 4.1989
Epoch 1 | Batch 3800/6212 | Loss: 3.8539
Epoch 1 | Batch 3900/6212 | Loss: 4.1809
Epoch 1 | Batch 4000/6212 | Loss: 3.3861
Epoch 1 | Batch 4100/6212 | Loss: 4.0124
Epoch 1 | Batch 4200/6212 | Loss: 3.9021
Epoch 1 | Batch 4300/6212 | Loss: 3.8068
Epoch 1 | Batch 4400/6212 | Loss: 3.9823
Epoch 1 | Batch 4500/6212 | Loss: 3.8344
Epoch 1 | Batch 4600/6212 | Loss: 3.6568
Epoch 1 | Batch 4700/6212 | Loss: 3.9497
Epoch 1 | Batch 4800/6212 | Loss: 3.9022
Epoch 1 | Batch 4900/6212 | Loss: 3.7709
Epoch 1 | Batch 5000/6212 | Loss: 3.4107
Epoch 1 | Batch 5100/6212 | Loss: 3.6361
Epoch 1 | Batch 5200/6212 | Loss: 3.8512
Epoch 1 | Batch 5300/6212 | Loss: 3.7416
Epoch 1 | Batch 5400/6212 | Loss: 3.7380
Epoch 1 | Batch 5500/6212 | Loss: 3.6944
Epoch 1 | Batch 5600/6212 | Loss: 3.6134
Epoch 1 | Batch 5700/6212 | Loss: 3.6418
